"review_text","label"
"Hi my family and I are booked to travel to Bali via Thailand on the 13th of March. I will be travelling with my parents and my young children (1 & 7). I was wondering if it was safe to go to Bali at this time and whether there being zero reported Corona Virus cases was true for Bali? The company that I have booked my villa through have been following up with me for my balance payment and assure me that Bali is safe but it would be great to hear from other travellers that are planning to visit or already there.","1"
"Hello Vishal, If you believe the latest statistics being 3 cases in India, 35 cases in Thailand and still none in Bali. You are safer in Bali than anywhere else. I’m in Bali atm and life is as normal here.","1"
"Hi Glenn, Thanks for your response. For me it was a bigger concern when I read that Bali/Indonesia has zero cases as the virus has reached parts of Europe as well which is much further away - is it really true? Some say that it’s because they don’t have test kits over there, others say it’s being hidden so it doesn’t hit tourism...I hope you have a safe trip in Bali and do share some updates if you hear anything. Thanks again","0"
"We are also travelling to Bali on the same day via Bangkok and really worried about the situation .","0"
"On a positive note , I havent read of any Australians returning from Bali infected.I think by now we would of heard something.Goodluck","1"
"It is very much a personal decision as to whether to cancel or proceed with travel plans. Perhaps you could consider that statistically there is a much higher percentage of risk of catching various diseases and/or being involved in a nasty traffic accident both in your home city or anywhere else in the world.","0"
"When SARS happened, Indonesia was zero SARS patient and nowadays also zero positive Covid-19 patient. Every year there are 1.4 million people go to Middle East for Umroh, Haj or working there, so Indonesia is always aware of Corona Virus such as MERS. Indonesia is also aware of Bird Flu virus of migrant birds from north and south hemisphere, however Bird Flu virus is different with Corona Virus. So, Indonesia can easily detect the viruses, if any.","1"
"Does no reports mean no cases???","1"
"There are about 50 Covid-19 suspect patients. Even who get common cold is checked and all of them are negative of Covid-19.","0"
"LeeLou, have a look at the other threads on this subject - there's been much debate about just that. So far, I've not read any details of what kinds of tests are being used, their accuracy and under what criteria they are being applied. The thing that does reassure me is, as LimitedEdition points out, there don't seem to be any people reporting symptoms coming home from Bali.","1"
"That is true, they cooperation with Kobe University and have found the reagent for identify Covid-19. For common all Corona virus, Indonesia has do testing more than ten years. If positive, so the sample will be tested in Jakarta for assay, so will know what kinds of Corona Virus, needs about 2 days for it. With reagent needs only hours.","1"
"Until nowadays there are no Covid-19 positive patient in Indonesia.There are one Indonesia citizen got Covid-19 positive in Singapore and 4 of Indonesian citizens got Covid-19 positive in Diamond Princess Cruise Ship as crews from 78 Indonesian crews means about 5 percent. But more than a fourth or more than 25 percent of the 1,700 passengers got Covid-19 positive, means high risk to use cruise ship. Most of the passengers are old persons, whereas most of the crew are young persons. So, if you are healthy and still young, you are more safe than if you are old person.","1"
"Thank you for the reassurance Sarwa. It’s promising to know that people returning to Australia from Indonesia are free from the virus, that’s a positive. I will be traveling via Singapore next month and plan to avoid contact with people as much as possible. We don’t have a single case of the virus in SA so it is definitely possible not to have it and l really don’t think anyone is hiding something.","1"
"You must take safe action outside Indonesia and outside SA, because 2 positive Covid-19 patients has been found in Iran. Until nowadays Africa is still safe.","1"
